Cell	Cbfa2t3h	Cdh1	Cdh5	Egfl7	Eif2b1	Erg	Ets1	Ets2	Etv2	Etv6	Fli1	FoxH1	FoxO4	Gata1	Gfi1	Gfi1b	HbbbH1	Hhex	HoxB2	HoxB4	HoxD8	Ikaros	Itga2b	Kdr	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mrpl19	Myb	Nfe2	Notch1	Pecam1	Polr2a	Procr	Runx1	Sfpi1	Sox17	Sox7	Tal1	Tbx20	Tbx3	Ubc
HFA4_118	-2,150783548	-14	0,546811023	-3,761591168	0,862988303	-2,079467138	-3,603192188	-0,439639977	-5,070647528	-3,075497618	1,481690203	0,373149923	-1,264246818	-14	-14	-1,529754868	-14	-2,224495538	-14	-14	-14	-1,538630538	-1,513277168	-0,191118177	-1,457317978	-0,488051637	-14	-0,036727427	-14	-3,088167938	-14	-3,006497268	-0,384962997	-3,714039538	-7,838654598	-2,304389118	-0,277222197	-14	0,647530853	-2,124484168	-14	-3,929375388	-1,362553698	-14	-14	2,420731163
HFA4_119	-14	-14	0,765344638	0,543057897	0,168029047	-1,181506583	-1,101062383	-0,360003963	-1,964842743	-3,658376503	2,822717678	1,254831048	-1,151966853	-14	-14	-14	-14	-2,434739473	-14	-2,315623863	-14	-14	-14	2,556118468	-1,268341773	-14	-14	0,243729577	-14	-0,331575763	-14	-2,162709073	-3,183822383	-14	-5,677090493	-2,995354873	-0,044693632	-3,344292093	-4,240335663	-14	-14	-1,573555393	0,579956747	-5,309961043	-14	2,039373658
HFA4_120	-4,610806248	-14	-2,150412728	-2,372237288	0,234687793	-3,896926808	-2,169802008	1,489918123	-4,933323648	-2,786186768	1,220951663	-0,257610057	-0,773653628	-2,725589258	-14	-0,342078227	-14	-14	-14	-1,698988338	-14	-2,398315248	-5,581456988	-1,177223798	-3,037321978	-2,498899318	-4,497324788	-0,185111387	-14	-14	-14	-1,364988688	-0,783035128	-5,025494148	-6,053431548	-3,492409078	-0,786332348	-4,838900748	0,993108953	-3,489512428	-14	-4,066980198	-0,487795338	-9,307453198	-4,697875328	1,916633243
HFA4_121	-3,6742525	-14	3,91104144	0,66397896	0,02168736	-2,25263476	-1,97376884	1,35574033	-2,93028012	-3,37888271	3,06535823	0,12810473	-1,20405295	-14	-14	-14	-14	-1,54322004	-14	-2,63145829	-14	-3,98763666	-3,83913284	1,44619211	-1,70530545	-1,27709575	-4,84662312	-1,73186302	-14	-0,46990165	-14	-1,9406206	-14	-14	-3,10160654	-0,4395699	-0,58741968	-4,25125984	-3,53106978	-2,82472668	-2,77967041	-1,88232332	-0,38596466	-7,34481357	-14	2,50635292
HFA4_122	-3,966571433	-14	1,142653218	0,767247618	-0,190655142	-2,375507403	-1,488982313	0,464319008	-0,574667083	-3,248024003	3,546442548	1,950527658	-0,232783032	-14	-14	-14	-14	-2,027594753	-14	-2,067652693	-14	-3,756290723	-14	2,716505458	-2,669967933	0,192956778	-4,315335283	-2,045566683	-3,199310973	0,135516008	-14	-2,899228863	-14	-14	-4,922911333	-1,555023003	0,065275268	-3,225224963	-14	-14	-3,384492653	-1,138337013	-0,762818052	-6,448318283	-14	3,024608738
HFA4_123	-3,352898305	-14	2,009601765	1,413607365	0,233848975	-3,153805515	-2,128834915	2,305506175	-0,600514515	-1,676154005	3,639986665	0,029525935	-1,529830575	-3,125965825	-4,741108695	-14	-2,557846785	-0,772895185	-14	-14	-14	-4,371772875	-14	2,398368145	-1,624821035	-1,104228875	-4,498193365	0,249345855	-3,481364375	0,749616805	-14	-2,813216985	-2,761705225	-14	-3,706141515	-0,696655165	0,034015225	-14	-4,504775625	-3,215002425	-4,287726425	-1,482864955	0,441064135	-6,316826725	-3,321726385	2,545352785
HFA4_124	-14	-14	-14	-2,97709246	0,67626886	-14	-2,15818171	-1,00384776	-0,56888131	-1,91532268	-14	1,47043625	-1,81206137	-2,29820939	-14	-14	-1,93639113	-14	-14	-14	-14	-14	-14	1,96222256	-2,90765892	-1,2299096	-14	-14	-14	0,549819	-14	-1,54288264	-14	-14	-6,95129034	-3,55183259	-0,54954311	-14	-14	-14	-14	-2,87677288	2,36653952	-5,92784268	-3,38461876	1,41615689
HFA4_125	-1,795294333	-14	-14	-0,709302902	-0,033213832	-14	-2,661651263	0,109414037	-1,002158533	-3,087560263	1,485945948	1,373358168	0,289050808	-14	-14	-14	-2,810620753	-3,601514973	-14	-1,401003893	-14	-14	-14	1,334433148	-5,304120893	-1,778605073	-14	-0,700110322	-14	-1,581476833	-14	-1,569623363	-14	-14	-7,206846343	-2,474242683	-0,670832663	-14	-3,262655443	-14	-4,280183573	-1,929981303	0,297155638	-5,866163353	-14	2,273669858
HFB10_001	-3,777981478	-14	2,278143353	-1,105571258	-0,353081458	-5,719243268	-1,339881228	1,895327463	-0,588331587	-1,945431378	3,045699123	-0,766879047	-1,265228928	-14	-14	-1,958998838	-4,028506328	-14	-14	-3,184370248	-14	-5,112275648	-4,389404238	0,003226163	-2,367032248	-6,491412558	-3,395683088	-0,638712858	-14	-2,565442948	-14	-1,319868838	-2,891279038	-14	-5,575446858	-1,022664658	-0,022893507	-4,760039778	0,119923683	-3,678518718	-4,808411808	-0,593400758	0,538963933	-14	-4,235220618	1,695843803
HFB10_002	-5,26817186	-14	-1,40459256	-3,86721653	0,01240091	-14	-3,42290445	-1,6581249	0,22810386	-1,82979931	2,77376506	0,72990133	-0,64430295	-14	-14	-14	-14	-3,21023171	-14	-14	-14	-14	-4,58218521	1,55623699	-5,72946749	-2,62578828	-5,21358111	-14	-14	-1,57619019	-14	-1,4299239	-14	-14	-5,90604351	-4,08209782	-0,82953741	-4,32441646	-4,75589167	-14	-2,60084662	-2,94566671	1,09981645	-6,33455736	-4,63132628	2,2470604
